id,wkshop,arm,pre_7,ex1_4,ex2_6,ex3_3,summ_7
3kusou,1,1,NA,NA,NULL,NULL,NULL
1bunor,1,1,7,NA,6,3,7
0hacar,1,1,4,NULL,6,3,7
2tacaz,1,NULL,2,NULL,NULL,NULL,NULL
7vjx,1,2,7,4,6,NULL,NULL
4nimad,1,4,0,NULL,NA,0,3
2micar,1,4,7,4,6,3,3
6chhom,1,2,NULL,NA,NA,NULL,NULL
0hacum,1,2,NULL,4,5,NULL,NULL
0garbc,1,4,NULL,4,5,NULL,NULL
